"country","status","description","range","number","day","source"
"Guinea","CASES","Total","Cumulative","2339","283","WHO"
"Sierra Leone","CASES","Confirmed","Cumulative","6457","283","WHO"
"Sierra Leone","CASES","Probable","Cumulative","79","283","WHO"
"Sierra Leone","CASES","Suspected","Cumulative","1478","283","WHO"
"Sierra Leone","CASES","Total","Cumulative","8014","283","WHO"
"Sierra Leone","DEATHS","Confirmed","Cumulative","1648","283","WHO"
"Sierra Leone","DEATHS","Probable","Cumulative","174","283","WHO"
"Sierra Leone","DEATHS","Suspected","Cumulative","35","283","WHO"
"Sierra Leone","DEATHS","Total","Cumulative","1857","283","WHO"
"All countries","CASES","Total","Cumulative","18118","343","WHO"
"All countries","DEATHS","Total","Cumulative","6533","343","WHO"
"Liberia","CASES","Confirmed","Cumulative","2869","281","WHO"
"Liberia","CASES","Probable","Cumulative","1829","281","WHO"
"Liberia","CASES","Suspected","Cumulative","3067","281","WHO"
"Liberia","CASES","Total","Cumulative","7765","281","WHO"
"Liberia","DEATHS","Total","Cumulative","3222","281","WHO"
"Guinea","CASES","Confirmed","Cumulative","2096","284","WHO"
"Guinea","CASES","Probable","Cumulative","229","284","WHO"
"Guinea","CASES","Suspected","Cumulative","29","284","WHO"
"Guinea","DEATHS","Confirmed","Cumulative","1233","284","WHO"
"Guinea","DEATHS","Probable","Cumulative","229","284","WHO"
"Guinea","DEATHS","Suspected","Cumulative","0","284","WHO"
"Guinea","DEATHS","Total","Cumulative","1462","284","WHO"
"Guinea","CASES","Total","Cumulative","2354","284","WHO"
"Sierra Leone","CASES","Confirmed","Cumulative","6497","284","WHO"
"Sierra Leone","CASES","Probable","Cumulative","79","284","WHO"
"Sierra Leone","CASES","Suspected","Cumulative","1493","284","WHO"
"Sierra Leone","CASES","Total","Cumulative","8069","284","WHO"
"Sierra Leone","DEATHS","Confirmed","Cumulative","1690","284","WHO"
"Sierra Leone","DEATHS","Probable","Cumulative","174","284","WHO"
"Sierra Leone","DEATHS","Suspected","Cumulative","35","284","WHO"
"Sierra Leone","DEATHS","Total","Cumulative","1899","284","WHO"
"All countries","CASES","Total","Cumulative","18188","343","WHO"
"All countries","DEATHS","Total","Cumulative","6583","343","WHO"
"Liberia","CASES","Confirmed","Cumulative","2946","283","WHO"
"Liberia","CASES","Probable","Cumulative","1801","283","WHO"
"Liberia","CASES","Suspected","Cumulative","3050","283","WHO"
"Liberia","CASES","Total","Cumulative","7797","283","WHO"
"Liberia","DEATHS","Total","Cumulative","3290","283","WHO"
"Guinea","CASES","Confirmed","Cumulative","2115","287","WHO"
"Guinea","CASES","Probable","Cumulative","263","287","WHO"
"Guinea","CASES","Suspected","Cumulative","16","287","WHO"
"Guinea","DEATHS","Confirmed","Cumulative","1255","287","WHO"
"Guinea","DEATHS","Probable","Cumulative","263","287","WHO"
"Guinea","DEATHS","Suspected","Cumulative","0","287","WHO"
"Guinea","DEATHS","Total","Cumulative","1518","287","WHO"
"Guinea","CASES","Total","Cumulative","2394","287","WHO"
"Sierra Leone","CASES","Confirmed","Cumulative","6638","287","WHO"
"Sierra Leone","CASES","Probable","Cumulative","79","287","WHO"
"Sierra Leone","CASES","Suspected","Cumulative","1556","287","WHO"
"Sierra Leone","CASES","Total","Cumulative","8273","287","WHO"
"Sierra Leone","DEATHS","Confirmed","Cumulative","1824","287","WHO"
"Sierra Leone","DEATHS","Probable","Cumulative","174","287","WHO"
"Sierra Leone","DEATHS","Suspected","Cumulative","35","287","WHO"
"Sierra Leone","DEATHS","Total","Cumulative","2033","287","WHO"
"All countries","CASES","Total","Cumulative","18464","343","WHO"
"All countries","DEATHS","Total","Cumulative","6841","343","WHO"
"Guinea","CASES","Confirmed","Cumulative","2127","288","WHO"
"Guinea","CASES","Probable","Cumulative","263","288","WHO"
"Guinea","CASES","Suspected","Cumulative","26","288","WHO"
"Guinea","CASES","Total","Cumulative","2416","288","WHO"
"Guinea","CASES","Confirmed","In past 21 days","249","288","WHO"
"Guinea","CASES","Total","In past 21 days","249","288","WHO"
"Guinea","DEATHS","Confirmed","Cumulative","1262","288","WHO"
"Guinea","DEATHS","Probable","Cumulative","263","288","WHO"
"Guinea","DEATHS","Suspected","Cumulative","0","288","WHO"
"Guinea","DEATHS","Total","Cumulative","1525","288","WHO"
"Liberia","CASES","Confirmed","Cumulative","2946","283","WHO"
"Liberia","CASES","Probable","Cumulative","1801","283","WHO"
"Liberia","CASES","Suspected","Cumulative","3050","283","WHO"
"Liberia","CASES","Total","Cumulative","7797","283","WHO"
"Liberia","CASES","Confirmed","In past 21 days","185","283","WHO"
"Liberia","CASES","Total","In past 21 days","185","283","WHO"
"Liberia","DEATHS","Total","Cumulative","3290","283","WHO"
"Sierra Leone","CASES","Confirmed","Cumulative","6702","288","WHO"
"Sierra Leone","CASES","Suspected","Cumulative","1575","288","WHO"
"Sierra Leone","CASES","Total","Cumulative","8356","288","WHO"
"Sierra Leone","CASES","Confirmed","In past 21 days","1261","288","WHO"
"Sierra Leone","CASES","Total","In past 21 days","1261","288","WHO"
"Sierra Leone","DEATHS","Confirmed","Cumulative","1876","288","WHO"
"Sierra Leone","DEATHS","Probable","Cumulative","174","288","WHO"
"Sierra Leone","DEATHS","Suspected","Cumulative","35","288","WHO"
"Sierra Leone","DEATHS","Total","Cumulative","2085","288","WHO"
"All countries","CASES","Total","Cumulative","18569","343","WHO"
"All countries","CASES","Total","In past 21 days","1695","343","WHO"
"All countries","DEATHS","Total","Cumulative","6900","343","WHO"
"Sierra Leone","CASES","Probable","Cumulative","79","288","WHO"
"Liberia","CASES","Confirmed","Cumulative","3021","288","WHO"
"Liberia","CASES","Probable","Cumulative","1764","288","WHO"
"Liberia","CASES","Suspected","Cumulative","3034","288","WHO"
"Liberia","CASES","Total","Cumulative","7819","288","WHO"
"Liberia","DEATHS","Total","Cumulative","3346","288","WHO"
"Guinea","CASES","Confirmed","Cumulative","2164","290","WHO"
"Guinea","CASES","Probable","Cumulative","263","290","WHO"
"Guinea","CASES","Suspected","Cumulative","27","290","WHO"
"Guinea","DEATHS","Confirmed","Cumulative","1287","290","WHO"
"Guinea","DEATHS","Probable","Cumulative","263","290","WHO"
"Guinea","DEATHS","Suspected","Cumulative","0","290","WHO"
