"COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","EBOLA_MEASURE (CODE)","EBOLA_MEASURE (DISPLAY)","EBOLA_MEASURE (URL)","CASE_DEFINITION (CODE)","CASE_DEFINITION (DISPLAY)","CASE_DEFINITION (URL)","EPI_WEEK (CODE)","EPI_WEEK (DISPLAY)","EPI_WEEK (URL)","INDICATOR_TYPE (CODE)","INDICATOR_TYPE (DISPLAY)","INDICATOR_TYPE (URL)","DATAPACKAGEID (CODE)","DATAPACKAGEID (DISPLAY)","DATAPACKAGEID (URL)","Display Value","Numeric","Low","High","Comments"
"LBR","Liberia","","CASES","Number of cases","","CONFIRMED","Confirmed","","2014-W46-6","15 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-19","Data package 2014-11-19","","2643","2643.00000","","","Data reported up to 15 November."
"LBR","Liberia","","CASES","Number of cases","","PROBABLE","Probable","","2014-W46-6","15 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-19","Data package 2014-11-19","","1762","1762.00000","","","Data reported up to 15 November."
"LBR","Liberia","","CASES","Number of cases","","SUSPECTED","Suspected","","2014-W46-6","15 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-19","Data package 2014-11-19","","2664","2664.00000","","","Data reported up to 15 November."
"LBR","Liberia","","CASES","Number of cases","","CONF_PROB_SUSP","Total","","2014-W46-6","15 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-19","Data package 2014-11-19","","7069","7069.00000","","","Data reported up to 15 November."
"LBR","Liberia","","CASES","Number of cases","","CONFIRMED","Confirmed","","2014-W46-6","15 November 2014","","SITREP_CUMULATIVE_21_DAYS","In past 21 days","","2014-11-19","Data package 2014-11-19","","340","340.00000","","","Data reported up to 15 November."
"LBR","Liberia","","CASES","Number of cases","","PROBABLE","Probable","","2014-W46-6","15 November 2014","","SITREP_CUMULATIVE_21_DAYS","In past 21 days","","2014-11-19","Data package 2014-11-19","","192","192.00000","","","Data reported up to 15 November."
"LBR","Liberia","","CASES","Number of cases","","SUSPECTED","Suspected","","2014-W46-6","15 November 2014","","SITREP_CUMULATIVE_21_DAYS","In past 21 days","","2014-11-19","Data package 2014-11-19","","Not reported","","","","Not reported due to the high proportion of suspected cases that are reclassified. "
"LBR","Liberia","","CASES","Number of cases","","CONF_PROB_SUSP","Total","","2014-W46-6","15 November 2014","","SITREP_CUMULATIVE_21_DAYS","In past 21 days","","2014-11-19","Data package 2014-11-19","","532","532.00000","","","Data reported up to 15 November."
"LBR","Liberia","","DEATHS","Number of deaths","","CONFIRMED","Confirmed","","2014-W46-6","15 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-19","Data package 2014-11-19","","Data not available","","","","Data not available."
"LBR","Liberia","","DEATHS","Number of deaths","","PROBABLE","Probable","","2014-W46-6","15 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-19","Data package 2014-11-19","","Data not available","","","","Data not available."
"LBR","Liberia","","DEATHS","Number of deaths","","SUSPECTED","Suspected","","2014-W46-6","15 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-19","Data package 2014-11-19","","Data not available","","","","Data not available."
"LBR","Liberia","","DEATHS","Number of deaths","","CONF_PROB_SUSP","Total","","2014-W46-6","15 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-19","Data package 2014-11-19","","2964","2964.00000","","","Data reported up to 15 November."
"SLE","Sierra Leone","","CASES","Number of cases","","CONFIRMED","Confirmed","","2014-W46-7","16 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-19","Data package 2014-11-19","","5056","5056.00000","","",""
"SLE","Sierra Leone","","CASES","Number of cases","","PROBABLE","Probable","","2014-W46-7","16 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-19","Data package 2014-11-19","","79","79.00000","","",""
"SLE","Sierra Leone","","CASES","Number of cases","","SUSPECTED","Suspected","","2014-W46-7","16 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-19","Data package 2014-11-19","","938","938.00000","","",""
"SLE","Sierra Leone","","CASES","Number of cases","","CONF_PROB_SUSP","Total","","2014-W46-7","16 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-19","Data package 2014-11-19","","6073","6073.00000","","",""
"SLE","Sierra Leone","","CASES","Number of cases","","CONFIRMED","Confirmed","","2014-W46-7","16 November 2014","","SITREP_CUMULATIVE_21_DAYS","In past 21 days","","2014-11-19","Data package 2014-11-19","","1389","1389.00000","","",""
"SLE","Sierra Leone","","CASES","Number of cases","","PROBABLE","Probable","","2014-W46-7","16 November 2014","","SITREP_CUMULATIVE_21_DAYS","In past 21 days","","2014-11-19","Data package 2014-11-19","","5","5.00000","","",""
"SLE","Sierra Leone","","CASES","Number of cases","","SUSPECTED","Suspected","","2014-W46-7","16 November 2014","","SITREP_CUMULATIVE_21_DAYS","In past 21 days","","2014-11-19","Data package 2014-11-19","","Not reported","","","","Not reported due to the high proportion of suspected cases that are reclassified. "
"SLE","Sierra Leone","","CASES","Number of cases","","CONF_PROB_SUSP","Total","","2014-W46-7","16 November 2014","","SITREP_CUMULATIVE_21_DAYS","In past 21 days","","2014-11-19","Data package 2014-11-19","","1394","1394.00000","","",""
"SLE","Sierra Leone","","DEATHS","Number of deaths","","CONFIRMED","Confirmed","","2014-W46-7","16 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-19","Data package 2014-11-19","","1041","1041.00000","","",""
"SLE","Sierra Leone","","DEATHS","Number of deaths","","PROBABLE","Probable","","2014-W46-7","16 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-19","Data package 2014-11-19","","174","174.00000","","",""
"SLE","Sierra Leone","","DEATHS","Number of deaths","","SUSPECTED","Suspected","","2014-W46-7","16 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-19","Data package 2014-11-19","","35","35.00000","","",""
"SLE","Sierra Leone","","DEATHS","Number of deaths","","CONF_PROB_SUSP","Total","","2014-W46-7","16 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-19","Data package 2014-11-19","","1250","1250.00000","","",""
"Display Value","Numeric","Low","High","Comments"
"COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","EBOLA_MEASURE (CODE)","EBOLA_MEASURE (DISPLAY)","EBOLA_MEASURE (URL)","CASE_DEFINITION (CODE)","CASE_DEFINITION (DISPLAY)","CASE_DEFINITION (URL)","EPI_WEEK (CODE)","EPI_WEEK (DISPLAY)","EPI_WEEK (URL)","INDICATOR_TYPE (CODE)","INDICATOR_TYPE (DISPLAY)","INDICATOR_TYPE (URL)","DATAPACKAGEID (CODE)","DATAPACKAGEID (DISPLAY)","DATAPACKAGEID (URL)","Display Value","Numeric","Low","High","Comments"
"GIN","Guinea","","CASES","Number of cases","","CONFIRMED","Confirmed","","2014-W47-2","18 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-21","Data package 2014-11-21","","1745","1745.00000","","","Based on official information received by the Ministry of Health up to the end of 18 November 2014"
"GIN","Guinea","","CASES","Number of cases","","PROBABLE","Probable","","2014-W47-2","18 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-21","Data package 2014-11-21","","216","216.00000","","","Based on official information received by the Ministry of Health up to the end of 18 November 2014"
